Error,Category
"IndexError: list index out of range",DATA_STRUCTURE
"TypeError: 'NoneType' object is not callable",DATA_TYPE
"cannot set a Timestamp with a non-timestamp",DATA_STRUCTURE
"NameError: name 'function_name' is not defined",SYNTAX
"'/long/random/file/path/to/datafile_2.csv' object has no attribute 'some_method_2'",DATA_STRUCTURE
"2023-04-23 11:28:46: KeyError: 'key_name'",DATA_STRUCTURE
"TypeError: 'float' object cannot be interpreted as an integer",DATA_TYPE
"'/long/random/file/path/to/csv_file.csv': [Errno 21] Is a directory",DISK
"2023-04-23 12:15:33: JSONDecodeError: Expecting property name enclosed in double quotes",DATA_FORMAT
"AttributeError: 'tuple' object has no attribute 'append'",DATA_STRUCTURE
"RuntimeError: The Session is unavailable because it was garbage collected.",RESOURCE
"2023-04-23 13:18:21: FileNotFoundError: [Errno 2] No such file or directory: 'config.ini'",DISK
"TypeError: '>' not supported between instances of 'str' and 'int'",DATA_TYPE
"ValueError: '2023-04-23 14:03:29' array must not contain infs or NaNs",DATA_STRUCTURE
"NameError: name 'variable_name' is not defined",SYNTAX
"2023-04-23 14:46:17: ImportError: No module named 'library_name'",MODULE
"ZeroDivisionError",ARITHMETIC
"PermissionError: [Errno 13] Permission denied: '/long/random/file/path/to/protected_file.txt'",DISK
"2023-04-23 15:22:58: IndexError: only integers, slices (`:`), ellipsis (`...`), numpy.newaxis (`None`) and integer or boolean arrays are valid indices",DATA_STRUCTURE
"TypeError: can only concatenate str (not 'int') to str",DATA_TYPE
"2023-04-23 16:17:43: AttributeError: 'generator' object has no attribute 'next'",DATA_STRUCTURE
"RuntimeError: dictionary changed size during iteration",RESOURCE
"TypeError: unsupported format string passed to numpy.ndarray.__format__",DATA_TYPE
"2023-04-23 17:08:52: OSError: [Errno 28] No space left on device",DISK
"TypeError: 'str' object does not support item assignment",DATA_TYPE
"'/long/random/file/path/to/datafile_3.csv' object has no attribute 'some_method_3'",DATA_STRUCTURE
"2023-04-23 18:23:37: KeyError: 'key_name_2'",DATA_STRUCTURE
"ValueError: invalid literal for int() with base 10: 'string'",DATA_TYPE
"NameError: name 'function_name_2' is not defined",SYNTAX
"2023-04-23 19:31:46: IndexError: list index out of range",DATA_STRUCTURE
"TypeError: 'NoneType' object is not callable",DATA_TYPE
"cannot set a Timestamp with a non-timestamp",DATA_STRUCTURE
"AttributeError: 'str' object has no attribute 'split'", DATA_STRUCTURE
"TypeError: unsupported operand type(s) for +: 'int' and 'str'", DATA_TYPE
"KeyError: 'key_name'", DATA_STRUCTURE
"ValueError: invalid literal for int() with base 10: '10.5'", DATA_TYPE
"SyntaxError: invalid syntax", SYNTAX
"FileNotFoundError: [Errno 2] No such file or directory: '/path/to/file.txt'", DISK
"IndexError: list index out of range", DATA_STRUCTURE
"TypeError: 'float' object is not iterable", DATA_TYPE
"PermissionError: [Errno 13] Permission denied: '/path/to/protected_file.txt'", DISK
"NameError: name 'variable_name' is not defined", SYNTAX
"TypeError: can only concatenate list (not 'int') to list", DATA_TYPE
"ModuleNotFoundError: No module named 'module_name'", MODULE
"ZeroDivisionError: division by zero", ARITHMETIC
"ValueError: invalid literal for int() with base 10: 'ABC'", DATA_TYPE
"TypeError: 'tuple' object does not support item assignment", DATA_TYPE
"AttributeError: 'list' object has no attribute 'remove_all'", DATA_STRUCTURE
